is_real_estate_post,area_LLM,bedroom_LLM,total_room_LLM,wc_LLM,alleyway_property,under_mortgage,residential_purpose,furnished,has_lowerlevel,has_rooftop,numbers_of_floors,street_name,article_id
1,89,,,,1,,,,1,,2,Nguyễn Văn Đậu,250385
1,75,3,,3,1,,,,,,2,Nơ Trang Long,250397
1,42,1,1,1,,,,1,,,,,250399
1,68,3,,,1,,,,,,3,Đinh Bộ Lĩnh,250400
1,,2,,2,1,,,,,,2,Phan Văn Trị,250406
1,60,3,5,4,1,0,1,0,0,1,4,Phan Văn Hớn,250407
1,,2,,,1,,1,,,,2,,250408
1,51,2,,,,1,,1,,,,Nguyễn Văn Luông,250409
1,54,3,3,,1,0,1,0,0,1,4,Nguyễn Gia Trí,250411
1,114.75,,,,,,,,1,1,5,Vạn Kiếp,250413
1,,2,,2,1,,,,,,2,Phan Văn Trị,250414
1,,,,,1,0,1,1,0,0,2,Nguyễn Văn Công,250415
1,54,3,,,1,0,1,0,1,1,4,Nguyễn Gia Trí,250419
1,208,3,,2,,,,,,,1,Đường 197,250423
1,,,,,,1,1,,,,,,250424
1,85,,,,1,,,,,,,Lê Văn Thọ,250426
1,83,,,,1,,,,,,2,Đường Số 4,250428
1,90,,,,1,,,,,,0,Lê Đức Thọ,250429
1,52,2,2,2,1,0,1,0,0,0,2,Lã Xuân Oai,250433
1,64.2,2,,2,1,,,,,1,2,Huỳnh Văn Nghệ,250438
1,80,,,,1,,,,,,0,Hoàng Hoa Thám,250448
1,112,3,5,2,1,,,,,1,2,Đường Số 9 Tam Đa,250454
1,110,5,7,5,1,,,,,,,Đường Lê Quang Định,250455
1,90,4,5,3,1,,1,,,,2,Nơ Trang Long,250456
1,46,,,,,,,,,,,Nguyễn Công Hoan,250457
1,60,3,3,3,1,,,,,,2,Nguyễn Công Hoan,250460
1,72,4,,,1,,1,,,,2,Tăng Bạt Hổ và Lê Quang Định,250461
1,79,3,,,1,,,,,,2,Vũ Tùng,250463
1,120,,,,1,,,,,,0,Lê Quang Định,250464
1,60,2,,3,,,,1,1,,2,Đỗ Tấn Phong,250465
1,90,,,,,1,,,,,2,Nguyễn Thượng Hiền,250466
1,64,3,,,,,,,,,2,Đường Hoa Sứ,250467
1,42,4,7,3,1,0,1,1,0,1,3,Nơ Trang Long,250468
1,90,,5,,1,,,,,1,2,Nguyễn Thượng Hiền,250469
1,54,,,,,,,,,,0,Nguyễn Đình Chiểu,250470
1,72,2,,2,,,,,1,,2,Thích Quảng Đức,250472
1,87,,,,1,,,,,,,Hoàng Hoa Thám,250473
1,95,3,,3,1,,,,,,2,Bùi Hữu Nghĩa,250474
1,70,,,,1,,,,,,2,Trường Sa,250475
1,66,3,,3,1,,,,,,,TRẦN XUÂN SOẠN,250476
1,72,,,,,,,,,,,Nguyễn Đình Chiểu,250477
1,56,2,,,1,,1,,,,2,Đoàn Thị Điểm,250478
1,70,4,4,4,1,,1,,1,,2,Cao Thắng,250479
1,46,2,2,2,1,,,,1,,2,Tỉnh Lộ 10,250480
1,105,18,18,,1,,,,1,,5,Lâm Văn Bền,250481
1,81,2,2,2,1,1,1,0,1,0,2,Đường Số 3,250484
1,54,4,4,3,1,,,,,,4,Đường số 7,250492
1,50,5,5,5,1,0,1,0,1,1,2,Hiệp Thành 13,250494
1,100,,,,1,,,,,,,Bàu Cát,250499
1,100,3,,,1,,,,,,2,Đường DC9,250502
1,52.8,4,,5,,,,,,1,3,Đặng Văn Bi,250506
1,,2,,,1,,1,1,,,2,,250508
1,39,2,2,2,1,0,1,0,1,0,2,Tạ Quang Bửu,250514
1,42,2,,2,1,,1,1,,,2,Bông Sao,250517
1,35,2,,2,1,,,,,,2,Tạ Quang Bửu,250518
1,39,2,,2,1,1,1,,,,2,Bông Sao,250521
1,52.5,2,2,2,1,0,1,0,0,0,2,Huỳnh Tấn Phát,250522
1,38,,,,,1,1,,,1,,Thống Nhất,250523
1,48,2,2,2,1,0,1,0,0,0,2,Bông Sao,250526
1,27.5,2,2,2,1,0,1,0,0,0,2,Tạ Quang Bửu,250527
1,38.5,2,2,2,1,0,1,0,0,0,1,Huỳnh Tấn Phát,250528
1,40,2,2,2,1,0,1,0,1,0,2,Bông Sao,250529
1,33.6,2,2,2,1,0,1,0,0,0,1,Tạ Quang Bửu,250530
1,49.4,2,2,2,1,0,1,0,0,0,2,Nguyễn Hồng Đào,250532
1,33,3,,4,1,0,1,,1,,4,Đinh Bộ Lĩnh,250534
1,48,2,2,2,1,0,1,1,1,0,2,Thạch Lam,250535
1,91,,,,1,,,,,1,2,Phan Sào Nam,250536
1,70,2,4,2,1,0,1,1,1,1,2,Xô Viết Nghệ Tĩnh,250537
1,49.5,2,2,2,1,0,1,0,0,0,1,Lê Đình Cẩn,250539
1,38,3,3,3,,,1,,,,3,Tân Bình,250542
1,36.75,2,2,2,1,0,1,0,1,0,2,Nghĩa Hòa,250548
1,35.2,2,2,2,1,0,1,0,1,0,2,Phạm Văn Hai,250549
1,38.5,2,2,2,1,0,1,0,0,0,2,Bế Văn Đàn,250550
1,38.5,2,2,2,1,0,1,0,0,0,2,Bành Văn Trân,250551
1,42,2,2,2,1,0,1,0,0,0,2,Tên Lửa,250553
1,42,2,,2,1,,1,,,,2,Quang Trung,250554
1,27,2,,2,1,,,,,1,3,Gò Dầu,250555
1,40,2,2,2,1,0,1,0,0,0,2,Phan Văn Trị,250556
1,36,2,2,2,1,0,1,0,0,0,2,Nguyễn Văn Lượng,250558
1,42,2,2,2,1,0,1,0,0,0,2,Lê Lợi,250559
1,48,2,,2,1,,1,,,,2,Dạ Nam,250560
1,37.2,2,,2,1,,1,1,,,2,Âu Dương Lân,250561
1,40.25,2,,2,1,,1,,,,2,Tây Thạnh,250562
1,45,2,2,2,1,0,1,0,0,0,2,Bành Văn Trân,250564
1,49,2,2,2,1,0,1,0,0,0,2,Đường Số 3,250565
1,27,2,5,2,1,,1,,,1,3,Gò Dầu,250566
1,84,,,,1,,,1,,,3,Đường Chiến Lược Lê Đình Cẩn,250570
1,72,4,4,5,1,,1,,,,3,Phan Huy Ích,250571
1,,,,,1,,,,,,2,Xô Viết Nghệ Tĩnh,250573
1,68,4,4,3,1,,,,,1,3,Đồng Xoài,250578
1,175,7,7,7,1,0,1,0,0,1,5,Chu Văn An,250579
1,50,,,,1,1,1,,,,0,Lạc Long Quân,250586
1,41.37,,,,,,,,,,0,Lạc Long Quân,250588
1,42,1,1,1,,,,1,,,,,250592
1,40,,,,,,,,,,3,Quốc lộ 1A,250593
1,44,2,3,2,,,1,,,,2,Đường Cống Lộ Tân Bình,250596
1,37,4,4,3,,,1,1,,,3,ÂU CƠ TÂN BÌNH,250598
1,64,2,4,2,1,0,1,1,1,0,2,Phạm Thế Hiển,250599
1,52,3,3,3,1,0,1,0,0,0,3,HUỲNH LIÊN,250600
1,53,2,,2,,,,,,,3,Trần Văn Quang,250602
1,48,3,3,3,1,0,1,0,0,0,4,LẠC LONG QUÂN,250604
1,56.25,3,3,3,1,0,1,0,0,0,2,Khuông Việt Tân Phú,250608
1,30,1,2,1,,,,,,,2,CHỢ TÂN HƯƠNG,250609
1,60,3,4,,1,,1,,,,3,AEON MAIL TÂN PHÚ,250611
1,40,4,4,3,,,,,,,3,Đường Hoà Bình,250612
1,75,,,,1,0,1,,,,,PHÚ THỌ HOÀ,250613
1,170,,,,,,,,,,0,Tô Ngọc Vân,250628
1,42,,,,1,0,1,,,,2,Xô Viết Nghệ Tĩnh,250633
1,72,,,,1,0,1,1,,,4,Nguyễn Văn Quỳ,250635
1,56,3,3,3,1,0,1,0,0,0,2,Kênh Tân Hoá,250638
1,45,3,5,4,1,0,1,0,1,1,4,Trường Chinh,250641
1,66,,,,1,,,,,,3,KHU BÀU CÁT,250642
1,60,4,,,1,,,,,,3,,250644
1,56,6,6,6,1,,,,,1,4,Trường Chinh và Ấp Bắc,250645
1,45,5,6,5,1,,,,,1,5,,250646
1,58,2,,,1,,,,,,2,Tùng Thiện Vương,250655
1,62,3,5,,1,,,,,,2,Trần Văn Quang,250657
1,64.2,2,5,2,1,0,1,0,1,1,2,Huỳnh Văn Nghệ,250658
1,82,3,,,,,,,,,2,Nguyễn Duy Cung,250663
1,57,4,,,1,,,,,1,4,Nguyễn Tư Giản,250664
1,0,,,,,0,1,,,,0,,250668
1,95,4,,3,1,,1,,1,,3,Trường Chinh,250671
1,55,,,,1,,,,,,2,Nguyễn Hồng Đạo,250672
1,,,,,1,,1,1,,,,Nguyễn Kiệm,250684
1,44,,,,1,0,1,,1,1,4,730 Lạc Long Quân,250693
1,108,2,2,2,1,,1,,1,,2,475,250697
1,70,4,4,4,1,0,1,1,0,0,3,,250702
1,65,2,,2,,,1,,,,,Bến Nghé,250703
1,45,2,,2,1,,1,,,,2,Huỳnh Văn Bánh,250708
1,70,3,5,4,1,,,,,1,2,Đường số 6,250713
1,54,3,3,3,1,,,,,,2,Xô Viết Nghệ Tĩnh,250717
1,66.6,6,6,4,,,,,,,2,Phan Văn Trị,250719
1,70,4,,1,1,,,,,1,3,Lạc Long Quân,250720
1,50,,,2,,,,,,,2,Nguyễn Văn Đậu,250721
1,118,4,,3,1,,1,,,,2,Nguyễn Văn Quá,250722
1,84,,8,,1,,1,,,,4,Nguyễn Cửu Vân,250730
1,60,,,,1,,,,,,0,Trường Chinh,250734
1,81.5,,,,1,,1,,,,0,Đường số 28,250735
1,,,,,,,1,,,,4,,250741
1,72,3,,2,,1,1,,,,2,Bình Tân,250749
1,,,,,,,,,,,0,,250750
1,44,2,3,2,,,1,,,,2,Đường Cỗng Lộ Tân Bình,250751
1,60.68,1,,,,,1,1,,,,Bến Nghé,250752
1,,4,,4,1,,,1,1,1,4,Lê Trọng Tấn,250755
1,40,4,4,3,,,,,,,3,Hoà Bình,250760
1,61,2,3,,,,,,,,2,LUỸ BÁN BÍCH,250766
1,45.5,2,2,2,1,,,,,,2,Lũy Bán Bích,250767
1,61,2,,,,,,,,,2,VƯỜN LÀI P TÂN THÀNH TÂN PHÚ,250768
1,90,,,,,1,,,,,,Lê Văn Lương,250776
1,110,10,10,,1,,,,,1,4,Đặng Thuỳ Trâm,250806
1,81,,,,,,1,,,,0,Nguyễn Văn Khạ,250811
1,,,,,1,,,,,,2,Trường Đại Học Văn Lang,250821
1,379,4,4,3,1,,1,,,,1,đường số 16,250830
1,638,3,,,1,,1,,,,2,Lê Vinh,250832
1,,3,,,1,0,1,,,1,4,Tân Quý,250833
1,79,2,2,2,1,,1,,,,1,đường số 4,250835
1,83,,,,1,0,1,0,0,0,2,Bùi Quang Là,250836
1,100,6,,4,,1,1,1,1,,4,KDC Cityland park Hills,250837
1,184,,,,,,,,,,0,Huỳnh Thị Quyến,250844
1,120,21,21,,1,,,1,1,1,6,Xô Viết Nghệ Tĩnh,250846
1,60,4,4,,1,,1,1,1,1,5,Lê Trọng Tấn,250852
1,65,4,6,5,1,0,1,1,0,1,3,Trần Văn Quang,250853
1,72,4,,,1,1,1,1,,,4,,250862
1,144,,,,,,,,,,,Đường 49,250867
1,70,4,4,1,1,0,1,1,1,1,4,Đường số 4,250868
1,106.5,,,,1,,1,,1,,2,Võ Thị Nhờ,250869
1,64,3,4,3,1,,1,,1,,2,Âu Cơ,250873
0,688,0,0,0,1,0,0,0,,0,1,Thạnh Lộc,250875
1,51.6,0,0,0,0,0,0,0,,0,5,Hoàng Hoa Thám,250876
1,90,6,6,6,1,0,1,0,0,1,4,Đường Dân Chủ,250878
1,62,5,,6,,,,,,,4,Trường Sơn,250883
1,184,,,,,,1,,,,0,Huỳnh Thị Quyến,250886
1,66,8,8,,1,,1,,,,4,Lũy Bán Bích,250889
1,85,4,,,1,1,1,,1,1,5,Lý Thường Kiệt,250893
1,,3,,3,1,,,,,,,Nguyễn Trí Thanh Nguyễn Thị Nhỏ,250898
1,38.5,2,2,2,1,,1,,,,2,Quang Trung,250913
1,52,4,6,4,1,1,,,,,4,Lê Minh Xuân,250924
1,75,3,,2,,,,1,,,,Vòng Xoay Liên Phường,250926
1,40,2,2,2,,,,1,1,1,2,Xuân Thới Thượng,250928
1,100,,,,1,,,,,,0,Phạm Văn Đồng,250930
1,58,3,,,1,,1,1,1,1,4,Nguyễn Hữu Tiến,250937
1,52,4,4,3,1,,,,1,1,2,Nguyễn Duy Trinh,250938
1,81.5,,,,1,,1,,,,0,Đường số 28,250940
1,95,13,13,,1,,,1,,1,,Trần Bình Trọng,250942
1,,,,,,,,,,,0,N7,250943
1,,3,,4,1,,1,,,1,2,Lê Trọng Tấn,250944
1,,,,,1,,1,1,,,,Nguyễn Kiệm,250945
1,100,,,,1,,1,,,,0,Đường tỉnh lộ 15,250947
1,120,21,21,,1,,,1,1,1,6,Xô Viết Nghệ Tĩnh,250949
1,60,3,,1,1,,,,,,3,Âu Cơ,250950
1,54,,,,,,,,,,3,Hồ Xuân Hương,250953
1,54,,,,,,,,,,3,Hồ Xuân Hương,250954
1,70,,12,12,1,,,,1,1,5,Nguyễn Văn Đậu,250956
1,1188,,,,,,,,,,0,Đường Liên Phường,250957
1,35,4,4,,1,,1,,,1,4,Phú Nhuận,250961
1,50,,,,1,,1,1,,,5,Cách Mạng Tháng 8,250965
1,84,4,6,5,1,,,,,1,2,Đặng Thùy Trâm,250968
1,74,,,,1,,1,,,,2,Phạm Văn Đồng,250970
1,38,,,,,,1,,1,,2,Phạm Văn Đồng,250972
1,63,2,4,2,1,,,,,,2,Ung Văn Khiêm,250973
1,63,2,4,2,1,,,,,,2,Ung Văn Khiêm,250974
1,60,4,4,,1,,1,1,1,1,4,Lê Trọng Tấn,250977
1,56.25,3,3,3,1,0,1,0,0,0,2,Kênh Tân Hoá,250978
1,60,3,4,,1,,,,,,3,AEON MAIL TÂN PHÚ,250980
1,40,4,4,3,,,,,,,3,Đường Hoà Bình,250981
1,40,4,4,3,,,,,,,3,Đường Hoà Bình,250982
1,75,,,,1,0,1,0,0,0,4,PHÚ THỌ HOÀ,250983
1,61,2,,,,,,,,,2,VƯỜN LÀI P TÂN THÀNH TÂN PHÚ,250984
1,55,,,,1,,,,,,2,Nguyễn Hồng Đạo,250986
1,,3,,4,1,,,,,1,4,Đồng Đen,250991
1,116.1,4,4,2,1,,1,1,,,4,Lê Văn Sỹ,250995
1,45,3,5,4,1,0,1,0,1,1,4,Trường Chinh,250996
1,45,3,,3,1,,1,,,1,4,Tân Bình,250997
1,64,3,5,,1,,,,,,2,SƠN KỲ,251003
1,52,3,,3,1,,1,0,0,0,3,,251004
1,37,4,4,5,1,,,1,,,3,Lạc Long Quân,251005
1,82,,,,1,,,1,1,,5,Lý Thường Kiệt,251007
1,48,4,7,5,1,1,1,,,,4,Đường Phú Hòa,251008
1,43,2,2,2,,,1,,1,,2,Phạm Văn Hai,251009
1,125,2,2,2,1,,1,,,,2,đường số 10,251010
1,80,4,,5,,,,1,,1,4,Lâm Văn Bền,251016
1,61.6,3,5,3,1,0,1,,1,,3,Sơn Hưng,251017
1,43,3,3,4,1,0,1,0,0,1,4,Nguyễn Sơn,251021
1,,2,,2,1,1,1,,,,2,Tân Kỳ Tân Quý,251026
1,42,2,3,2,1,0,1,0,0,0,2,Hoàng Hoa Thám,251028
1,,,,,1,0,1,1,0,0,3,Trần Quang Khải,251030
1,112,7,7,,1,,,,,,2,Phạm Văn Chiêu,251035
1,47,4,5,1,1,,,,,1,4,Tân Quý,251037
1,58,4,5,4,1,,1,,,,3,Lạc Long Quân,251043
1,44,,,,1,,1,,,,2,Nguyễn Thượng Hiền,251046
1,55,,,,1,,,,,,2,Đinh Tiên Hoàng,251050
1,46,2,,,1,,,,,,2,Hương Lộ 2,251051
1,120,21,21,,,,,1,1,1,6,Xô Viết Nghệ Tĩnh,251053
1,51,4,4,3,1,,1,,,1,4,Ni Sư Huỳnh Liên,251055
1,30,2,,,1,,1,,,,2,Âu Cơ,251058
1,126,5,5,3,1,,1,,,,2,Đường 339,251063
1,120,,,,,,,,,,4,Đông Hưng Thuận,251064
1,168,8,8,,1,,1,,,,,Tân Hòa 2,251068
1,52,,,,,1,1,,,,0,Lạc Long Quân,251077
1,80,2,2,2,0,0,1,0,0,0,2,Ni Sư Huỳnh Liên,251083
1,,2,,3,,,,1,,,2,Lạc Long Quân,251084
1,48,4,6,,1,,1,,,,,Đường Thành Mỹ,251086
1,63,5,,4,,,,1,,,3,Đường Thạnh Mỹ Lợi,251091
1,80,3,4,4,1,0,1,1,1,0,2,Âu Cơ Lạc Long Quân,251096
1,64,6,6,4,,,,1,,1,2,Quang Trung,251098
1,,4,,,1,,1,,,,4,Đường Thành Mỹ,251101
1,60,6,7,5,1,,,1,1,,4,Phạm Văn Chiêu,251107
1,63,1,1,1,,,1,1,1,,18,Bến Nghé,251108
1,48,4,5,1,1,,1,,,1,,Đường Thành Mỹ,251111
1,84,6,6,6,1,,,,,1,3,LÊ VĂN DUYỆT,251116
1,58.8,4,6,4,1,,,,1,,3,Lê Đức Thọ,251117
1,64,,,,1,,,,,,,Cách Mạng Tháng 8,251122
1,120,21,21,,,,,1,1,1,6,Xô Viết Nghệ Tĩnh,251129
1,90,,,,,,1,,,,2,Trường Chinh,251131
1,350,4,,,1,,,,,1,5,Phạm Văn Chiêu,251132
1,53,,,,,,1,,,,2,NGUYỄN VĂN YẾN,251133
1,61,2,,,,,,,,,2,P TÂN THÀNH TÂN PHÚ,251139
1,76,1,2,,1,,1,,,,2,Nguyễn Thị Huỳnh,251142
1,52.26,4,7,3,1,,,1,,1,3,Nguyễn Đình Chính,251148
1,48,4,,4,1,,,,,,0,Đường Thành Mỹ,251149
1,114.5,,,,1,,,,,,2,Huỳnh Tấn Phát,251151
1,56,2,5,2,1,0,1,0,0,0,2,Phan Văn Hớn,251155
1,44,2,,2,,,1,,,1,1,Tô Ký,251156
1,24,1,1,2,1,0,1,0,0,0,2,Điện Biên Phủ,251159
1,48,2,5,2,1,0,1,,,,1,Dương Thị Giang,251160
1,52,2,,2,1,1,1,,,,1,Nguyễn Văn Quá,251161
1,50,4,6,4,1,0,1,0,0,0,4,Đường Hồng Lạc,251162
1,200,2,,2,1,,,,,,1,Huỳnh Tấn Phát,251166
1,55,5,5,5,1,0,1,,,,3,Nguyễn Bặc,251168
1,45,2,3,,1,,,,,1,4,,251171
1,38,2,2,2,1,,1,1,1,,2,Tô Hiến Thành,251173
1,56,4,7,5,1,,,1,,1,3,Lê Cảnh Tuân,251183
1,60,,,,,,1,1,,,4,Đường xe hơi thông kế Hiệp Thành City,251184
1,51,4,4,,1,,,,,1,3,Lương Thế Vinh,251185
1,34,3,6,3,1,,,1,,,2,Kênh 19 Tháng 5,251187
1,45.9,3,3,4,1,,,1,,1,3,Đỗ Thừa Luông,251188
1,46,4,4,4,1,,,1,,,,Đỗ Công Tường,251191
1,43.2,3,4,4,1,0,0,0,,0,2,Nguyễn Văn Săng,251196
1,,,,,,,,1,,,3,Hai Bà Trưng,251198
1,42,1,,1,,,,1,,,,,251199
1,36,3,,4,1,,,,,1,2,Trần Huy Liệu,251200
1,40,2,,2,1,,,1,,,2,Cách Mạng Tháng Tám,251202
1,44,,,,1,1,1,,,,0,đường nội bộ,251206
1,65,8,8,,1,,1,1,,,4,Lê Văn Sỹ,251212
1,75,5,5,5,1,,,,,1,3,Vạn Kiếp,251218
1,100,5,6,6,1,,,,,,7,MT Nguyễn Trọng Lội,251220
1,95.3,3,3,2,,1,1,1,1,,2,Vòng Xoay Liên Phường,251222
1,48,3,3,3,,,,1,,1,3,LƯƠNG NGỌC QUYẾN P5 GÒ VẤP,251223
1,55,1,2,1,,,,1,,,0,Đỗ Xuân Hợp,251225
1,33,2,2,2,1,0,1,1,0,0,1,Nơ Trang Long,251228
1,58.8,4,,,1,,,,,,2,Chấn Hưng,251229
1,,4,,5,,,,,,1,4,Hiệp Thành City,251237
1,52,,,,1,,,,1,1,2,Phan Đình Phùng,251238
1,48,2,,2,1,,,,,1,2,Ngô Đức Kế,251239
1,32,2,4,2,1,1,1,1,1,0,2,Bình Thành,251240
1,1188,,,,,,,,,,0,Đường Liên Phường,251242
1,40,3,5,3,1,0,1,1,1,1,2,Vũ Huy Tấn,251243
1,33,2,2,2,1,,,1,,,1,Nguyễn Thượng Hiền,251249
1,48,,,,1,,,,,,2,Bùi Văn Thêm,251252
1,115,7,7,4,1,,,,,1,3,Lạc Long Quân,251253
1,81,,,,,,1,,,,0,Nguyễn Văn Khạ,251258
1,60,3,3,3,1,,,1,,,2,Nơ Trang Long,251269
1,49,3,6,3,1,,,1,1,,2,Lê Văn Sỹ,251277
1,62,,,,1,,,,,,4,Trần Quang Diệu,251281
1,52,,,,1,,,,1,1,2,Cách Mạng Tháng Tám,251282
1,58.8,2,,,1,,,1,,,2,Nguyễn Trọng Tuyển,251283
1,34,3,5,3,1,,,1,,,2,Đặng Văn Ngữ,251286
1,38,3,3,3,1,,,1,,,2,Nguyễn Đình Chiểu,251288
1,38,3,3,3,1,,,1,,,2,Nguyễn Đình Chiểu,251289
1,44,3,7,4,1,0,1,1,1,1,2,Huỳnh Văn Bánh,251291
1,46,4,4,4,1,,,1,,,,Lê Quang Định,251292
1,45.9,3,3,4,1,,,1,,1,3,Nguyễn Kiệm,251293
0,117,0,0,0,0,0,0,0,1,1,4,Vạn Kiếp,251294
1,52.26,4,7,3,1,,,1,,1,3,Trường Sa,251295
1,43.2,3,4,4,1,0,0,0,,0,2,Hoàng Văn Thụ,251296
1,56,4,4,4,1,,,,,1,3,Đỗ Tấn Phong,251297
1,70,4,4,4,,,,,,1,3,Con Đường Tơ Lụa,251300
1,30,,,,1,,,,1,,2,đường Bà Hạt,251302
1,43,,,,1,,,,,,0,Phạm Văn Đồng,251304
1,,2,,3,1,,,,1,,2,,251305
1,43,2,,2,1,,,1,,,2,Quang Trung,251307
1,52,4,4,6,1,0,1,,,1,6,HL2,251309
1,52,4,7,6,1,0,1,0,0,1,5,HL2,251310
1,85,3,,,1,,,,,,2,Nguyễn Văn Lượng,251312
1,47,2,,2,1,,,1,,1,3,,251313
1,60,2,,3,1,,,1,,,1,Phạm Văn Hai,251315
1,58.8,4,,,1,,,,,,2,Hoàng Văn Thụ,251316
1,44,3,4,4,1,0,1,1,1,1,2,Nguyễn Phúc Nguyên,251317
1,40,2,,2,1,,,1,1,,2,Nguyễn Công Hoan,251319
1,51,4,,,1,,,,,1,3,Phùng Văn Cung,251322
1,52,,,,1,,,,1,1,2,Cách Mạng Tháng Tám,251325
1,48,,,,1,,,,,,2,Lê Văn Sỹ,251329
1,220,,,,1,,,,,,,Võ Thị Nhờ,251333
1,70,,,,1,0,1,,,,0,TÔ NGỌC VÂN QUỐC LỘ13 PHẠM VĂN ĐỒNG,251335
1,33,2,2,2,1,,,1,,,1,Kênh Tân Hóa,251336
1,84,4,,5,1,0,1,,,1,4,Lâm Văn Bền,251337
1,52,,,,1,,,,1,1,2,Dương Đức Hiền,251339
1,49,3,5,3,1,,,1,1,,2,Trần Cao Vân,251341
1,145,,,,1,,,,1,,4,đường 79,251344
1,108,,,,1,,,,,1,2,đường 69,251345
1,140,,,,,,,,,,1,đường 77,251346
1,60,4,4,1,1,,,,,,2,Đường 81,251347
1,160,0,0,0,0,0,0,0,,0,0,Nam Long Phu Thuan,251348
1,150,,,,1,1,1,,,1,2,Quốc lộ 13,251359
1,17,2,3,3,1,0,1,1,0,0,3,Trần Đình Xu,251360
1,36,2,,2,1,,,,,,,Lê Đại Hành,251362
1,38,3,3,3,1,0,1,0,0,0,2,Cách Mạng Tháng Tám,251365
1,40,4,4,4,1,0,1,0,0,0,2,Âu Cơ,251366
1,50,,,,1,,,,,,2,Đường Số 8,251369
1,50,3,3,3,1,0,1,0,0,0,2,Thoại Ngọc Hầu,251370
1,29,3,,3,1,,1,,,,4,Đinh Tiên Hoàng,251372
1,324,38,38,40,1,,,,1,1,2,Nguyễn Văn Linh,251375
1,75,,,,,,,,1,,1,Nguyễn Ảnh Thủ,251376
1,,2,,2,,,,1,,,2,TRẦN VĂN ƠN,251377
1,21,2,2,2,1,0,1,0,1,0,2,Nơ Trang Long,251378
1,48,3,,2,1,,,,1,,2,Tân Chánh Hiệp,251382
1,68,4,,,1,,1,,,,3,Thành Thái,251383
1,,4,,5,1,,1,,,,4,Hương Lộ 2,251384
1,63,,,,,1,1,,1,,18,Bến Nghé,251392
1,90,,,,,,,,,,0,Bình Chánh,251398
1,50,4,6,4,1,,1,,,,,Âu Cơ,251399
1,,2,,,1,0,1,,1,,2,Phạm Văn Bạch,251404
1,63,3,,4,,,,1,,,4,TRẦN QUANG CƠ,251406
1,63,3,,4,,,,1,,,4,TRẦN QUANG CƠ,251407
1,429,9,9,8,,,,1,,,5,Thoại Ngọc Hầu,251411
1,142,,,,,,,,,,1,Nguyễn Sơn,251412
1,72,5,5,,,1,,,,,4,BÙI QUANG LÀ,251413
1,74,4,4,4,1,,,,,,3,Phan Huy Ích,251414
1,234,4,11,4,1,,,,,,3,đường số,251418
1,243,4,11,4,1,,,,,,3,đường số,251419
