article_id,bedroom,bathroom
284145,3,NaN
284139,6,5
284132,3,4
284130,NaN,NaN
284127,NaN,NaN
284126,NaN,NaN
284123,NaN,NaN
284122,NaN,NaN
284119,NaN,NaN
284118,NaN,NaN
284117,3,2
284116,2,2
284115,3,4
284114,5,6
284113,5,6
284112,4,3
284110,2,NaN
284107,NaN,NaN
284089,NaN,NaN
284088,2,NaN
285142,NaN,NaN
284074,2,2
284071,7,6
284070,2,2
284069,NaN,NaN
284068,5,2
284066,3,NaN
284063,NaN,NaN
284062,1,NaN
284061,5,2
284060,NaN,NaN
284059,5,4
284055,NaN,NaN
284051,NaN,NaN
284049,4,4
284043,2,NaN
284042,4,4
284041,3,3
284033,4,2
284029,4,5
284021,NaN,NaN
284019,2,2
284018,NaN,NaN
284017,NaN,NaN
284016,NaN,NaN
284014,1,NaN
284009,NaN,NaN
285142,NaN,NaN
284005,2,2
284003,NaN,NaN
284001,NaN,NaN
283997,NaN,NaN
283996,5,5
283990,4,5
283988,3,2
283985,4,NaN
283984,NaN,NaN
30423,4,3
283982,NaN,NaN
283976,2,2
283973,4,5
283972,2,NaN
283971,5,6
283970,3,NaN
283964,2,NaN
283960,8,5
283958,2,NaN
283957,NaN,NaN
283956,8,5
283953,NaN,NaN
283952,7,NaN
283951,4,NaN
283950,5,3
283949,5,3
283947,2,3
283941,NaN,NaN
283936,2,2
283929,NaN,NaN
283928,NaN,NaN
283927,15,NaN
283922,NaN,NaN
283920,5,6
283919,3,2
30623,2,2
283912,5,6
283910,4,3
283905,3,4
283898,NaN,NaN
283896,5,NaN
283893,NaN,NaN
283892,NaN,NaN
283889,NaN,NaN
283887,NaN,NaN
283886,NaN,NaN
283882,NaN,NaN
283881,NaN,NaN
283879,NaN,NaN
283878,2,2
283876,3,3
283872,2,2
283871,3,NaN
283867,1,1
283863,NaN,NaN
283861,NaN,NaN
283860,2,2
283854,NaN,NaN
283850,NaN,NaN
28490,3,NaN
283848,3,3
283842,3,2
283839,3,NaN
283834,3,2
283833,3,2
283829,3,2
283819,NaN,NaN
283818,NaN,NaN
283816,4,5
283811,2,NaN
283808,5,NaN
283804,NaN,NaN
283795,NaN,NaN
283794,NaN,NaN
283793,5,5
283783,3,2
283782,4,2
283778,3,2
283777,3,2
283776,4,4
283772,1,2
283771,NaN,NaN
283770,2,NaN
283762,2,2
283758,2,NaN
283753,NaN,NaN
283752,NaN,NaN
283751,NaN,NaN
283746,14,15
283743,3,4
283742,4,NaN
283738,NaN,NaN
283737,NaN,NaN
2851420,NaN,NaN
283723,NaN,NaN
283718,NaN,NaN
283717,NaN,NaN
283715,NaN,NaN
283714,4,3
283712,NaN,NaN
283710,2,2
283700,3,3
283699,3,3
283694,NaN,NaN
283693,NaN,NaN
283691,3,2
283685,NaN,NaN
283677,NaN,NaN
283674,4,5
283672,2,2
283668,8,NaN
283666,4,3
283664,3,2
283659,3,2
283652,2,NaN
283651,2,2
283644,3,NaN
283643,9,NaN
283640,4,5
283636,NaN,NaN
283635,NaN,NaN
283633,6,5
283632,2,2
283628,4,4
283617,NaN,NaN
283616,4,NaN
283608,NaN,NaN
283603,3,2
283598,5,6
283595,NaN,NaN
283594,3,3
283586,2,2
283582,2,2
283580,3,NaN
283579,NaN,NaN
283574,NaN,NaN
283572,3,1
283571,NaN,NaN
283570,NaN,NaN
283558,3,4
283555,2,2
283553,5,5
283552,11,13
283543,NaN,NaN
283542,NaN,NaN
283539,3,4
283538,3,4
283537,NaN,NaN
283531,NaN,NaN
283527,NaN,NaN
283517,4,5
283516,NaN,NaN
283514,NaN,NaN
31123,5,5
283512,NaN,NaN
283505,6,4
283495,NaN,NaN
2834940,3,5
283493,4,3
283491,5,6
283490,1,1
283474,2,2
283473,2,NaN
283470,NaN,NaN
283469,NaN,NaN
283464,NaN,NaN
283463,NaN,NaN
283457,4,4
283453,5,6
283449,4,4
283440,NaN,NaN
283437,6,NaN
283435,NaN,NaN
283431,2,2
283425,3,NaN
283415,NaN,NaN
283413,3,3
2834120,NaN,NaN
283411,NaN,NaN
283410,4,5
283405,2,NaN
283404,2,NaN
283398,NaN,NaN
283396,NaN,NaN
283388,2,2
283387,NaN,NaN
283383,NaN,NaN
283382,NaN,NaN
283381,NaN,NaN
2851420,NaN,NaN
283363,NaN,5
283361,NaN,NaN
283360,NaN,NaN
283358,2,2
283357,2,2
283356,3,NaN
283354,5,NaN
283352,4,5
283345,4,NaN
283342,2,2
283338,3,3
283337,3,3
283335,2,NaN
283329,NaN,NaN
283325,3,3
283324,NaN,NaN
283316,NaN,NaN
283315,NaN,NaN
283312,3,2
283309,NaN,NaN
283289,NaN,NaN
283287,5,5
283286,5,5
283278,3,2
283275,NaN,NaN
283274,NaN,NaN
283271,2,2
283270,3,3
283267,2,NaN
283258,NaN,NaN
283257,3,4
283256,3,3
283251,3,3
283249,3,NaN
283243,NaN,NaN
283242,NaN,NaN
283237,NaN,NaN
283228,4,5
283217,4,5
283212,NaN,NaN
283204,4,3
283203,2,2
2832020,3,2
283199,2,2
283196,3,3
283195,3,3
283186,3,3
283177,NaN,NaN
283172,3,NaN
283171,NaN,NaN
283170,4,NaN
283169,NaN,NaN
283166,3,2
283155,NaN,NaN
283151,3,4
283149,4,3
283143,4,5
283142,4,5
283139,NaN,NaN
283138,NaN,NaN
283137,NaN,NaN
283133,NaN,NaN
283126,NaN,1
283125,2,2
283120,4,5
283116,NaN,NaN
283111,2,2
283107,4,3
283103,NaN,NaN
283101,3,4
283099,3,NaN
283098,2,NaN
283097,5,6
283095,2,NaN
283078,3,2
283077,3,3
283075,NaN,NaN
283074,NaN,NaN
283061,3,4
283057,NaN,NaN
283042,3,3
283040,NaN,NaN
283031,2,2
283029,2,2
283007,4,3
283006,4,3
283004,2,2
283001,NaN,NaN
282996,NaN,NaN
282994,NaN,NaN
282993,3,NaN
282992,3,NaN
282991,NaN,NaN
282990,3,2
282989,3,2
282988,NaN,NaN
282983,5,6
282981,4,5
282976,2,2
282968,NaN,NaN
282967,NaN,NaN
282966,9,NaN
282964,5,6
282960,1,NaN
282959,4,3
282950,NaN,NaN
282948,7,NaN
282946,7,NaN
282943,NaN,NaN
282942,3,3
282935,NaN,NaN
282934,NaN,NaN
282932,6,6
282927,2,2
282920,NaN,NaN
282913,6,NaN
282900,NaN,NaN
282894,2,NaN
282892,4,3
282890,2,2
282889,2,2
282884,NaN,NaN
282881,2,NaN
285142,NaN,NaN
282879,2,NaN
282878,6,NaN
282877,6,NaN
282874,NaN,NaN
282872,NaN,NaN
282867,NaN,NaN
282865,3,NaN
282863,NaN,NaN
282862,2,2
282858,2,2
282850,3,NaN
282848,2,NaN
282845,3,NaN
282843,3,3
282831,6,NaN
282830,NaN,2
282823,NaN,NaN
282821,4,NaN
282820,6,3
282819,NaN,NaN
282818,2,1
282815,NaN,NaN
282810,2,3
282807,4,3
282802,NaN,NaN
282796,NaN,NaN
282794,NaN,NaN
282786,NaN,NaN
282780,3,3
282775,4,3
282770,6,6
282769,4,5
282766,4,6
,,
282763,2,NaN
282762,1,1
282761,1,1
282760,NaN,NaN
282758,NaN,NaN
282757,2,2
282756,3,3
282755,3,3
282754,NaN,NaN
282752,5,NaN
282751,NaN,NaN
282750,NaN,NaN
282749,NaN,NaN
282748,3,3
282747,3,2
282746,NaN,NaN
282745,NaN,NaN
282744,3,3
282733,3,4
282729,2,2
282724,NaN,NaN
282721,2,2
282717,NaN,NaN
282716,NaN,NaN
282714,NaN,NaN
282713,5,6
282710,NaN,NaN
282709,4,NaN
282706,4,3
282700,7,4
282698,NaN,NaN
282693,NaN,NaN
282686,2,2
282685,4,4
282673,NaN,NaN
282672,NaN,NaN
282668,NaN,NaN
282665,NaN,NaN
282664,NaN,NaN
282662,NaN,NaN
282660,6,NaN
282659,2,2
282655,3,NaN
282649,NaN,NaN
282645,NaN,NaN
282644,9,4
282643,4,3
282636,5,4
282635,4,NaN
282634,1,2
282632,NaN,NaN
282631,5,NaN
282626,NaN,NaN
282625,NaN,NaN
282624,NaN,NaN
282623,3,3
282620,NaN,NaN
282618,2,2
282617,2,2
282616,6,NaN
282611,5,6
282604,4,3
282603,NaN,NaN
282599,8,8
282598,1,1
282597,5,6
282586,7,4
282585,5,4
282581,3,NaN
282578,4,2
282575,NaN,NaN
282572,4,3
282571,4,3
282569,NaN,NaN
282562,5,2
282560,2,2
282559,2,2
282555,NaN,NaN
2825420,NaN,NaN
282541,5,NaN
282536,4,3
282526,3,NaN
282525,4,NaN
282518,3,3
282516,4,9
282515,NaN,NaN
282514,NaN,NaN
282511,3,NaN
282509,4,NaN
282506,4,NaN
282498,4,NaN
282496,NaN,NaN
282493,4,NaN
282491,7,NaN
282490,NaN,3
282488,5,NaN
282481,NaN,NaN
282477,NaN,NaN
282471,NaN,NaN
282470,4,3
282469,4,5
28923,4,3
282461,4,3
282460,3,NaN
282456,3,4
282449,3,4
282446,7,NaN
282442,3,NaN
282428,NaN,NaN
282423,NaN,NaN
2824220,4,2
282421,2,2
282420,NaN,NaN
282416,3,NaN
282415,4,NaN
282414,NaN,NaN
282413,4,4
282410,NaN,NaN
282409,NaN,NaN
282408,NaN,NaN
282404,NaN,NaN
282403,NaN,NaN
282400,1,1
282399,7,NaN
282397,3,4
282391,2,2
282390,2,NaN
282389,2,2
282388,NaN,NaN
282384,3,4
282376,5,4
282373,3,4
282372,4,NaN
282367,NaN,NaN
282361,3,2
282360,NaN,NaN
282359,3,2
282357,NaN,NaN
282356,NaN,NaN
282354,3,3
282350,NaN,NaN
282343,3,3
282341,NaN,NaN
282338,4,NaN
282334,NaN,NaN
282331,5,4
282316,4,5
282304,NaN,NaN
282303,NaN,NaN
282300,NaN,NaN
282297,3,NaN
282296,4,4
282294,NaN,NaN
282291,4,4
282290,4,5
282289,NaN,NaN
282285,2,2
28523,5,6
282283,NaN,NaN
282282,0,0
282278,3,2
282268,3,NaN
282267,3,4
28623,NaN,NaN
282259,NaN,NaN
282251,3,2
282248,NaN,NaN
282244,6,2
282243,11,NaN
282242,2,2
282238,NaN,NaN
282234,NaN,NaN
282233,NaN,NaN
282231,NaN,4
282229,3,3
282226,4,4
282223,NaN,NaN
282222,NaN,NaN
282217,2,2
282210,4,6
282207,5,3
282202,45,48
282200,NaN,NaN
282199,NaN,NaN
282194,3,2
282192,4,3
282191,2,2
282190,3,NaN
282188,3,NaN
282186,3,4
28023,NaN,NaN
28023,NaN,NaN
282180,NaN,NaN
282173,8,10
282171,NaN,NaN
282170,NaN,NaN
282164,3,2
282162,NaN,NaN
282158,2,3
282154,3,NaN
282151,5,6
282149,3,3
282144,4,4
282143,4,4
282142,NaN,NaN
282133,3,2
282132,2,NaN
282130,NaN,NaN
282129,2,2
282128,NaN,NaN
282115,NaN,NaN
28123,4,3
282106,NaN,NaN
282105,3,3
282104,2,1
282103,9,NaN
282102,5,NaN
282095,3,4
282094,3,4
282093,5,6
282092,3,3
28223,4,6
282082,4,4
282080,NaN,NaN
282079,NaN,NaN
282075,2,2
282063,5,5
282061,5,4
282058,2,NaN
282057,2,NaN
282056,1,NaN
282054,NaN,NaN
282053,2,2
282049,4,NaN
28323,NaN,NaN
282040,NaN,NaN
282039,NaN,NaN
282038,NaN,NaN
282037,4,3
282036,2,2
282034,NaN,2
282033,3,3
282030,NaN,NaN
282025,NaN,NaN
282021,4,NaN
282020,3,NaN
282019,3,NaN
2820180,2,2
282014,3,3
282013,3,4
282011,2,2
282009,NaN,NaN
282008,NaN,NaN
282007,4,4
281997,4,4
281991,3,NaN
281990,2,NaN
281988,7,8
281985,4,NaN
281984,4,3
281982,2,2
281981,4,5
281978,2,2
281977,3,2
281974,2,3
281973,NaN,NaN
281971,4,5
281970,3,2
281968,NaN,NaN
281967,NaN,NaN
281966,NaN,NaN
27823,3,3
281962,2,NaN
108281961,4,NaN
281960,2,2
281954,3,2
281953,3,2
281951,3,2
281950,3,2
27923,2,NaN
281934,3,NaN
281928,2,2
281927,8,9
281924,3,1
281921,NaN,NaN
281919,NaN,3
281918,4,4
281913,3,3
281909,4,5
281908,2,3
281907,2,3
281906,4,3
281905,NaN,NaN
281903,NaN,NaN
281902,NaN,NaN
281900,NaN,NaN
281899,1,1
281898,2,2
281896,2,2
281893,4,4
281891,NaN,NaN
281890,NaN,NaN
281889,NaN,NaN
281888,8,NaN
281887,NaN,NaN
281886,NaN,NaN
281884,NaN,NaN
281883,NaN,NaN
281881,NaN,NaN
281880,NaN,NaN
281878,NaN,NaN
281877,NaN,NaN
281876,NaN,NaN
281875,NaN,NaN
281874,NaN,NaN
281872,NaN,NaN
281871,NaN,NaN
281870,5,6
281869,NaN,NaN
281867,NaN,NaN
281864,NaN,NaN
281863,4,3
281861,4,4
281859,7,7
281858,NaN,NaN
854058561,3,2
281849,2,2
281847,NaN,NaN
281845,2,2
281838,NaN,NaN
281835,3,4
281833,2,NaN
281832,NaN,NaN
281830,NaN,NaN
281827,NaN,NaN
281826,NaN,NaN
281823,NaN,NaN
281821,NaN,NaN
281820,NaN,NaN
281819,NaN,NaN
281817,5,3
281808,NaN,NaN
281807,2,3
281806,6,8
281804,NaN,NaN
281803,NaN,NaN
281802,NaN,NaN
281801,NaN,NaN
281800,NaN,NaN
281799,NaN,NaN
281797,NaN,NaN
281796,NaN,NaN
281794,NaN,NaN
281793,NaN,NaN
281792,NaN,NaN
281791,NaN,NaN
281789,NaN,NaN
281788,NaN,NaN
281787,NaN,NaN
281783,8,NaN
281782,8,NaN
281781,NaN,NaN
281780,NaN,NaN
281779,NaN,NaN
281776,NaN,NaN
281773,4,3
281768,NaN,NaN
281767,NaN,NaN
281766,NaN,NaN
281765,NaN,NaN
281764,4,5
281763,4,3
281762,4,3
281761,6,6
281760,NaN,NaN
281759,4,NaN
281757,3,5
281754,NaN,NaN
281753,NaN,NaN
281752,NaN,NaN
281751,NaN,NaN
281750,NaN,NaN
281749,NaN,NaN
281748,7,4
281747,NaN,NaN
281746,6,NaN
281745,NaN,NaN
281744,3,NaN
281742,NaN,NaN
281741,NaN,NaN
281740,7,7
281739,1,1
281736,3,3
281735,7,NaN
281734,NaN,NaN
281726,4,5
281723,NaN,NaN
281717,2,2
281711,4,5
281709,2,NaN
281708,2,NaN
281707,NaN,NaN
281703,6,5
281702,3,3
281700,5,4
281696,7,7
281693,NaN,NaN
281689,NaN,NaN
281682,3,2
281681,3,5
281680,NaN,NaN
281676,NaN,NaN
281675,NaN,NaN
281673,NaN,NaN
281672,NaN,NaN
27623,4,NaN
281669,NaN,NaN
281657,6,6
285142,NaN,NaN
281655,NaN,NaN
281652,2,3
281650,4,NaN
281648,4,4
281647,9,6
281644,2,3
281643,2,3
281639,NaN,NaN
281636,2,2
281633,4,5
281632,4,5
281628,NaN,NaN
281624,5,5
285142,NaN,NaN
281619,3,2
281618,2,2
281617,NaN,NaN
281608,2,NaN
281607,3,NaN
281605,6,4
281604,NaN,NaN
281603,3,4
281598,4,NaN
281597,NaN,NaN
281594,4,4
281593,2,2
281592,4,NaN
281591,4,NaN
281585,2,NaN
281575,NaN,NaN
285142,NaN,NaN
281554,NaN,NaN
281553,NaN,NaN
281552,NaN,NaN
281551,NaN,NaN
281550,7,5
281548,NaN,NaN
281547,NaN,NaN
281546,NaN,NaN
281545,2,2
281543,3,3
281542,3,3
281539,7,NaN
281538,7,4
281537,3,2
281536,NaN,NaN
281535,NaN,NaN
281534,NaN,NaN
281532,4,5
281531,NaN,NaN
281530,NaN,NaN
281529,NaN,NaN
281528,NaN,NaN
281524,3,2
281517,3,3
854058561,4,4
281514,3,NaN
281513,3,4
281511,NaN,NaN
281508,NaN,NaN
281505,NaN,NaN
281504,2,2
281502,NaN,NaN
281501,2,2
281500,6,5
281499,2,2
281498,3,2
281497,3,2
281496,2,NaN
281494,3,2
281492,NaN,NaN
281490,3,NaN
281483,NaN,NaN
281482,3,4
281481,4,NaN
281480,2,2
281479,4,NaN
281478,4,4
281476,6,NaN
281475,6,NaN
281474,6,6
281471,NaN,NaN
281467,4,5
281463,2,NaN
281461,NaN,NaN
281459,NaN,NaN
281458,NaN,NaN
281456,4,3
281454,3,2
281449,NaN,NaN
281446,NaN,NaN
281445,NaN,NaN
,,
281440,3,5
2851438,NaN,NaN
281434,5,6
281432,2,2
281428,3,NaN
281426,6,6
281423,NaN,NaN
281422,NaN,NaN
281420,4,NaN
281418,NaN,NaN
281417,NaN,NaN
281414,4,NaN
285142,3,2
281410,3,2
281409,NaN,NaN
281406,NaN,NaN
281405,NaN,NaN
281403,2,NaN
281402,NaN,NaN
281400,NaN,NaN
281399,NaN,NaN
281395,2,2
281379,NaN,NaN
281378,2,2
281377,NaN,NaN
281375,NaN,NaN
281374,NaN,NaN
281373,2,3
281371,NaN,NaN
281370,NaN,NaN
281369,NaN,NaN
281368,3,2
281367,6,4
281359,1,1
281358,NaN,NaN
281357,NaN,NaN
281354,7,4
281353,NaN,NaN
281352,6,NaN
281351,9,7
281350,NaN,NaN
281349,NaN,NaN
281348,NaN,NaN
281347,NaN,NaN
281346,NaN,NaN
281345,NaN,NaN
281344,NaN,NaN
281343,NaN,NaN
281342,NaN,NaN
281341,NaN,NaN
281340,2,2
281339,NaN,3
281338,NaN,NaN
281337,NaN,NaN
281336,4,5
281333,2,2
281332,NaN,NaN
281331,7,NaN
281330,NaN,NaN
281329,NaN,NaN
281326,NaN,NaN
281325,2,2
281321,4,NaN
281320,3,4
281319,NaN,NaN
281318,2,2
281311,4,7
281310,NaN,NaN
281309,NaN,NaN
281307,3,3
281306,3,2
281305,2,2
281304,5,6
281301,NaN,NaN
281300,4,NaN
27023,NaN,NaN
281295,2,2
281294,2,2
281293,NaN,NaN
281292,2,2
281289,3,NaN
281287,4,5
281286,3,3
281284,4,6
281279,2,2
281277,NaN,NaN
281275,3,4
281274,1,NaN
281269,NaN,NaN
281265,2,3
281258,6,NaN
281257,6,5
281255,NaN,NaN
281254,NaN,NaN
281252,NaN,NaN
281251,NaN,NaN
281250,NaN,NaN
285142,NaN,NaN
281247,NaN,NaN
281244,4,4
281223,3,4
281222,3,4
281221,5,6
281220,NaN,NaN
281218,5,6
281217,5,6
281215,5,6
281213,NaN,NaN
281210,NaN,NaN
281209,NaN,NaN
281208,4,3
281203,4,4
281202,NaN,NaN
281201,NaN,NaN
281200,NaN,NaN
281197,NaN,NaN
281195,NaN,NaN
281193,NaN,NaN
281192,NaN,NaN
281191,NaN,NaN
281190,3,2
281189,3,2
281188,3,2
,,
281186,NaN,NaN
281185,4,6
281184,NaN,NaN
281183,NaN,NaN
281182,NaN,NaN
281180,2,2
281175,3,3
281174,3,2
281172,NaN,NaN
281169,4,NaN
281167,NaN,NaN
281163,4,NaN
281159,4,3
281155,2,2
281145,2,2
281143,NaN,NaN
281142,2,2
281141,NaN,NaN
281136,2,2
281129,3,NaN
281128,NaN,NaN
281127,NaN,NaN
281122,NaN,NaN
281120,NaN,NaN
281119,NaN,NaN
281115,4,5
281114,4,3
281112,NaN,NaN
281109,6,3
281108,4,5
281105,4,6
281104,NaN,NaN
281103,NaN,NaN
281092,NaN,NaN
281080,2,2
281079,4,5
281078,NaN,NaN
281077,4,3
281076,1,1
281075,3,2
281074,2,2
281072,4,5
281071,4,5
281070,NaN,NaN
281068,NaN,NaN
281066,3,NaN
281063,4,NaN
281061,3,3
281050,NaN,NaN
281047,5,4
281041,4,3
281040,4,4
281039,2,2
281034,2,2
281024,4,NaN
281023,NaN,NaN
281022,NaN,NaN
281021,3,3
281020,NaN,NaN
281019,NaN,NaN
281017,NaN,NaN
281016,3,2
281014,4,3
281008,3,2
281007,2,2
281006,6,NaN
281005,6,NaN
281001,3,1
280997,7,7
280995,3,2
280992,4,4
280989,NaN,4
280987,4,4
280986,3,3
280985,3,3
280973,5,NaN
280972,5,NaN
280968,4,3
280967,2,2
280963,NaN,NaN
280956,2,4
280953,4,4
280952,4,NaN
280946,NaN,NaN
280945,NaN,NaN
280942,3,NaN
280941,2,2
280939,NaN,NaN
280938,2,2
280931,2,3
280929,3,NaN
280926,NaN,NaN
280925,4,3
280916,9,9
280915,NaN,NaN
280914,NaN,NaN
280912,NaN,NaN
280911,NaN,NaN
280910,NaN,NaN
280909,NaN,NaN
280904,42,NaN
280901,NaN,NaN
280897,NaN,NaN
280896,NaN,NaN
280895,NaN,NaN
280894,NaN,NaN
280893,NaN,NaN
280888,NaN,NaN
280887,NaN,NaN
280883,4,3
280880,5,NaN
280878,NaN,NaN
280877,NaN,NaN
280876,4,2
280875,2,3
280874,2,3
280873,NaN,NaN
280872,NaN,NaN
280871,5,6
280869,NaN,NaN
280864,NaN,NaN
280863,4,NaN
280862,4,NaN
280853,4,6
280848,2,3
,,
280846,NaN,NaN
280840,1,1
280835,5,4
280830,2,2
280829,3,3
280826,4,4
280825,NaN,NaN
280824,NaN,NaN
280822,5,5
280821,2,NaN
280816,NaN,NaN
280809,NaN,NaN
280794,1,1
280793,NaN,NaN
280791,NaN,NaN
26423,NaN,NaN
280789,5,3
280787,NaN,NaN
280786,NaN,NaN
280785,NaN,NaN
280781,NaN,NaN
26623,NaN,NaN
26623,NaN,NaN
280775,2,2
280772,2,3
280770,NaN,NaN
280764,NaN,NaN
280758,9,9
280750,3,3
285142,NaN,NaN
280744,3,3
280742,4,3
280737,7,5
280736,3,2
280729,NaN,NaN
280724,5,6
280723,NaN,NaN
280722,NaN,NaN
280721,NaN,NaN
280720,NaN,NaN
280718,3,2
280717,NaN,NaN
280716,NaN,NaN
280715,NaN,NaN
280714,2,NaN
280713,NaN,NaN
280712,NaN,NaN
280711,NaN,NaN
280710,4,3
280709,NaN,NaN
280707,NaN,NaN
280706,3,2
280705,NaN,NaN
280702,NaN,NaN
280700,NaN,NaN
280699,8,6
280698,3,NaN
280697,6,NaN
280695,3,2
280693,3,NaN
280692,NaN,NaN
280691,2,NaN
280690,9,NaN
280689,4,5
280688,NaN,NaN
280686,4,5
280685,3,2
280684,2,1
280681,NaN,NaN
280677,NaN,NaN
280674,9,9
280672,3,3
280669,4,NaN
280665,NaN,NaN
280664,NaN,NaN
280663,NaN,NaN
280651,5,NaN
280650,5,NaN
280648,NaN,NaN
280647,3,2
280640,5,1
280639,5,NaN
280638,3,NaN
280632,NaN,NaN
280629,4,3
280626,4,3
280624,2,2
280620,3,3
280617,3,2
280615,3,2
280608,5,5
280607,NaN,NaN
280606,2,2
280604,NaN,NaN
280603,NaN,NaN
280599,NaN,NaN
280581,2,2
280580,NaN,NaN
280579,3,3
280577,2,2
280573,3,2
280572,4,5
280571,3,2
280568,4,2
280564,NaN,NaN
280563,2,2
280562,NaN,NaN
280561,NaN,NaN
280557,3,NaN
280555,NaN,NaN
