title,price,area,time,page_link
Cửa nhựa giá rẻ lắp đặt phòng ngủ và Toilet | Cửa nhựa Đài Loan,Thỏa thuận,,2023-12-08 11:53:52,https://batdongsan.vn/cua-nhua-gia-re-lap-dat-phong-ngu-va-toilet-cua-nhua-dai-loan-r285126
Căn hộ ZENITY mặt tiền Võ Văn Kiệt Quận 1 Chỉ Cần Xách Va Ly Vào Ở Ngay Hotline: 0939.514.572,9 tỷ,108m2,2023-12-08 13:17:32,https://batdongsan.vn/can-ho-zenity-mat-tien-vo-van-kiet-quan-1-chi-can-xach-va-ly-vao-o-ngay-hotline-0939514572-r285124
"NHÀ MẶT TIỀN KHU SẦM UẤT QUẬN 4, 4 TẦNG, NGAY NGÃ 3 NGUYỄN TẤT THÀNH, GIÁ ĐẦU TƯ CỰC TỐT 12,8 TỶ",12.8 tỷ,75m2,2023-12-08 14:17:25,https://batdongsan.vn/nha-mat-tien-khu-sam-uat-quan-4-4-tang-ngay-nga-3-nguyen-tat-thanh-gia-dau-tu-cuc-tot-128-ty-r285118
"Nhà Chính chủ hẻm taxi Mễ Cốc, P15, Q8. Giá 3.4tỷ",3.4 tỷ,110m2,2023-12-08 14:56:20,https://batdongsan.vn/nha-chinh-chu-hem-taxi-me-coc-p15-q8-gia-34ty-r285109
"Bán nhà Trần Xuân Soạn, phường Tân Hưng, Q.7 – 12m2, hẻm xe máy, giá 1.x tỷ",Thỏa thuận,12m2,2023-12-08 15:36:51,https://batdongsan.vn/ban-nha-tran-xuan-soan-phuong-tan-hung-q7-12m2-hem-xe-may-gia-1x-ty-r285107
"GIẢM SÂU 1,7 TỶ- NHỈNH 8 TỶ -HXH 12M NGAY HÒA BÌNH, TÂN PHÚ- 85m ngang 8m- sổ vuông A4",8.99 tỷ,85m2,2023-12-08 16:52:19,https://batdongsan.vn/giam-sau-17-ty-nhinh-8-ty-hxh-12m-ngay-hoa-binh-tan-phu-85m-ngang-8m-so-vuong-a4-r285102
HẺM XE HƠI-NHÀ ĐẸP LUNG LINH NGAY EMART GÒ VẤP- 53M2(4 *13M)- 4 TẦNG-SỔ VUÔNG A4,7.39 tỷ,53m2,2023-12-08 17:08:04,https://batdongsan.vn/hem-xe-hoi-nha-dep-lung-linh-ngay-emart-go-vap-53m24-13m-4-tang-so-vuong-a4-r285100
Chọn nhà như ý chọn Elysian,4.66 tỷ,88m2,2023-12-08 17:14:52,https://batdongsan.vn/chon-nha-nhu-y-chon-elysian-r285099
"Bán nhà mặt tiền kinh doanh Bùi Tá Hán, An Phú, 4x20m, an ninh cao, 16 tỷ thương lượng",16 tỷ,80m2,2023-12-08 17:56:09,https://batdongsan.vn/ban-nha-mat-tien-kinh-doanh-bui-ta-han-an-phu-4x20m-an-ninh-cao-16-ty-thuong-luong-r285098
"Bán nhà đẹp 50m2 *2 Nguyễn Khuyến, Bình Thạnh nhỉnh 4 tỷ hẻm 1 sẹc, rộng thoáng , có ban công đón gió",4.75 tỷ,50m2,2023-12-08 18:00:30,https://batdongsan.vn/ban-nha-dep-50m2-2-nguyen-khuyen-binh-thanh-nhinh-4-ty-hem-1-sec-rong-thoang-co-ban-cong-don-gio-r285097
