article_id,alleyway_property,under_mortgage,residential_purpose,numbers_of_floors,has_rooftop,furnished,street_name,0
284885.0,0,0,1,2,0,0,L»y Bán Bích,
284884.0,0,,1,2,,1,Âu Cơ Tân Phú,
284881.0,0,,1,2,,,"Âu Cơ, Tân Phú",
284872.0,1,,1,4,,,Nguyễn Văn Khối,
284867.0,1,,1,,,,,
284865.0,,,1,,,1,Đường D1,
284864.0,,,1,,,1,Đường Đỗ Xuân Hợp,
284862.0,,,1,2,1,1,Đường Bưng Ông Thoàn,
284861.0,,,1,2,,,Riveria Cove,
284857.0,1,0,1,2,0,0,Tân Bình,
284856.0,1,,1,2,,,Tân Bình,
284855.0,1,0,1,2,0,0,Tân Bình,
284854.0,1,,1,4,,,Hoàng Hoa Thám,
284847.0,1,0,1,2,0,0,Lê Thị Hoa,
284845.0,,,1,2,1,,bonchen,
284844.0,,,,2,1,,bonchen,
284839.0,,,1,2,,,Nguyễn Văn Trỗi Phan Đình Phùng,
284830.0,,,1,2,,1,"Thạnh Xuân 43, Quận 12",
284827.0,1,,1,4,1,,Liên khu 8 9 BÌNH TÂN,
284825.0,,,,,,,,
284819.0,1,,1,2,1,,Nam Hoà Phước Long A,
284818.0,1,,1,2,1,,Bình Tân,
284813.0,,0,1,1,1,,Phú Mỹ Hưng,
284812.0,,1,1,1,1,,Phú Mỹ Hưng,
284804.0,1,,1,3,1,1,Phan Đình Phùng,
284801.0,,,1,0,,,"đường số 52, An Phú, Q2",
284797.0,0,0,1,3,0,1,Trần Kế Xương,
284796.0,,,1,19,,,,
284791.0,1,,1,,,,Quang Trung Phường 11 Gò Vấp,
284790.0,1,0,1,0,0,0,Thạch Lam,
284789.0,1,0,1,0,0,0,Thạch Lam,
284784.0,1,0,1,2,0,0,Lũy Bán Bích,
284783.0,1,,1,2,,,Lũy Bán Bích,
284769.0,0,0,1,3,0,,"ĐƯỜNG NHỰA 6M TRUNG TÂM PHƯỜNG 6, BÌNH THẠNH",
284768.0,,,1,4,1,,đường 7 KDT Vạn Phúc City,
284755.0,1,0,1,5,0,0,Tô Hiến Thành,
284750.0,,,1,2,,1,Hòa Hưng,
284743.0,,,1,2,,,Nguyễn Văn Tưởng,
284737.0,,,1,3,,,Tân Quý,
284730.0,1,,1,3,1,,Bùi Minh Trực,
284728.0,,,1,3,,1,Đường số 5,
284706.0,,,1,5,,1,Tân Phú,
284704,1,0,1,4,0,1,Đường số 21,
284701.0,1,,1,4,,,Nguyễn Văn Khối,
284698.0,,,1,3,0,,Trần Kế Xương Phường 7 Quận Phú Nhuận,
284697.0,,,1,2,,,Vạn Kiếp Phường 3 Quận Bình Thạnh,
284696.0,,,1,3,,,Lê văn quới,
284690.0,1,0,1,,,,Dương Quảng Hàm,
284689.0,1,0,1,,,,Dương Quảng Hàm,
284679.0,,,1,3,1,1,Ngô Chí Quốc,
284678.0,,,1,5,1,,Phan Văn Trị,
284675.0,,,1,2,,,Nguyễn Văn Tưởng,
284666.0,1,,1,3,,,Nguyễn Bặc,
284655.0,,,1,,,1,Đường D1 Phường Phước Long B Q9,
284645.0,,,,,,,,
284644.0,,,1,2,,1,,
284643.0,,,1,2,,1,,
284642.0,,,1,,,1,Đường Võ Chí Công,
284639.0,1,,1,3,1,,Luy Ban Bich,
284635.0,1,,1,4,,,Lý Thường Kiệt,
284634.0,1,,1,2,,,Hẻm 3M Thông,
284629.0,1,,1,2,,,Lê Văn Thọ,
284627.0,,,1,0,1,1,,
284626.0,,,,4,,,Lý Thường Kiệt,
284625.0,,,1,4,,,Lý Thường Kiệt,
284624.0,,,1,,,1,"Phường An Phú, Quận 2",
284617.0,,,1,3,1,,Trường Chinh,
284616,1,,1,2,1,1,Hoang Sa,
284610.0,0,,1,3,1,,Phạm Văn Hai,
284607.0,1,,1,2,,,Ngã Tư Bốn Xã,
284606.0,1,0,1,2,0,0,Ngã tư Bốn Xã,
284600.0,,,1,4,,1,Lý Thánh Tông Tân Phú,
284592.0,,,1,2,1,,"An Phú, An Khánh, Q2",
284587.0,1,,1,2,,,Phan Huy Ich,
284586.0,,,1,,,1,Võ Văn Kiệt,
284578.0,1,0,1,4,0,0,Nguyễn Cửu Phú,
284575.0,,,1,2,,,Dương Đức Hiền,
284571.0,,,1,2,,,Lê Văn Thọ Thống Nhất Cây Trâm,
284570.0,,,1,2,,,Lê Văn Thọ Thống Nhất Cây Trâm,
284569.0,1,,1,2,1,,Nguyễn Oanh Phan Văn Trị,
284568.0,1,0,1,2,0,0,Cho Phan Anh,
284567.0,1,0,1,2,0,1,hẻm 20 đường số 4 Phường Linh Tây TP.Thủ Đức,
284566.0,,,1,,,,Tân Hưng Thuận Q12,
284565,,,1,,,,Phạm Văn Đồng,
284563.0,,,1,1,,,Trung Chánh HồCMON,
284562.0,,,1,2,,,Nguyện Thị Búp Hơn,
284561.0,1,0,1,2,0,0,Chợ Phan Anh,
284559.0,,1,1,2,,,Đỗ Xuân Hợp,
284558.0,,,1,4,1,,Hồng Lạc,
284557.0,,,1,3,1,,đối diện công ty bonchen,
284542.0,,,1,3,1,,Phan Đăng Lưu,
284535.0,,,1,,,,Đường 65,
284534.0,,,1,2,1,,Khu dân cư Phường Bình Trị Đông B Quận Bình Tân TP Hồ Chí Minh,
284533.0,1,0,1,2,0,0,Số 10,
284519.0,,,1,2,,,Cầu Kinh,
284518.0,,,1,2,1,,đường số 4 khu công nghiệp Tân Tạo,
284516.0,1,,1,2,,,Xô Viết Nghệ Tĩnh,
284513.0,0,0,1,2,1,,đường số 6B,
284510.0,,,1,6,,1,Đường số 16 trung tâm khu dân cư Tên Lửa,
284508.0,1,,1,2,,,Lê Đình Cẩn,
284506,1,,1,2,,,"Lạc Long Quân, Tân Bình",
284493.0,,,1,2,,,Nguyễn Phúc Chu,
284492.0,1,0,1,2,0,0,Lạc Long Quân Âu Cơ,
284491.0,1,,1,,,,Lê Văn Quới,
284489.0,,,,,,,,
284486.0,1,,1,3,1,,Mã Lò,
284479.0,1,,1,1,,,Lê Văn Quới,
284477.0,,,1,3,1,,Phạm Nhữ Tăng,
284476.0,,,1,3,1,,Phạm Nhữ Tăng,
284472.0,1,0,1,2,1,1,Đường 3/2 Phường 14 Quận 10,
284471.0,1,,1,2,,,Trương Phước Phan,
284469.0,,1,1,2,,,Đường Tam Châu,
284468.0,1,0,1,3,0,1,Nhà đẹp Bình Thọ,
284467.0,1,,1,,,,Trương Phước Phan,
284466.0,1,,1,2,,,Nguyễn Sỹ Sách,
284465.0,1,,1,2,,,Nguyễn Sỹ Sách,
284463.0,,,1,3,1,1,Võ Văn Kiệt,
284462.0,,,1,,,1,Đường Võ Chí Công,
284461.0,,,1,,,1,Đường Võ Chí Công,
284459.0,,,1,,,1,Đường Võ Chí Công,
284453.0,1,,1,4,1,,Luỹ Bán Bích,
284452.0,1,,1,3,,,Đường Đỗ Xuân Hợp,
284451.0,1,,1,,,,Hốc Môn,
284445.0,0,0,1,3,1,1,Đường số 7,
284442.0,,,1,2,1,,đường số 3,
284431.0,,,1,2,,0,Đường số 12,
284428.0,,,1,3,,1,Gần Bắc Hải,
284425.0,,,1,,,,đường 11 Trường Thọ,
284420.0,,,1,2,,,Nguyễn Xí,
284412.0,,,1,,,1,Lý Chiêu Hoàng,
284406.0,1,,1,2,,,Phường 8 Gò Vấp gần Lê Văn Thọ Nguyễn Văn Khối,
284404.0,,,1,2,,,Trung Mỹ Tây Q12,
284402.0,1,,1,5,1,1,Trường Chinh,
284401.0,,,1,,,,Đặng Văn Bi,
284399.0,,,1,4,,,Thạch Lam,
284398.0,,,1,2,1,,Đặng Văn Bi,
284397.0,,,,,,,,
284395.0,,,1,4,1,,Ba Tháng Hai,
284393.0,,,1,2,1,,Lê Văn Thọ,
284392.0,,,1,3,,,Phan Văn Trị,
284389.0,1,0,1,2,1,0,Tân Hưng Thuận,
284386.0,1,0,1,5,1,0,"Nguyễn Hồng Đào, Tân Bình",
284385.0,1,0,1,5,1,0,"Nguyễn Hồng Đào, Tân Bình",
284384.0,1,0,1,1,1,0,Tân Mỹ,
284383.0,,,1,5,,,đường số 44,
284382.0,1,0,1,2,0,0,Liên Khu,
284381.0,1,0,1,2,0,0,Nguyễn Cửu Đàm,
284377.0,1,,1,2,1,1,Mã Lò,
284376.0,,,1,5,1,,Tân Sơn Nhì,
284373.0,0,1,1,2,1,,Nguyễn Đình Chính,
284369.0,1,,1,2,,,đường số 47 Phường Hiệp Bình Chánh Thủ Đức,
284368.0,1,,1,2,,,Lê Văn Quới,
284367.0,1,,1,2,,,AEON Mall - Tân Phú,
284366.0,0,,1,2,,,Aeon Mall Tân Phú Bình Hưng Hòa Bình Tân,
284364.0,,,1,,,,Phạm Văn Hai,
284363.0,,,1,1,,1,Nguyễn Văn Lượng,
284360,1,0,1,1,0,0,Lê Đức Thọ,
284358.0,,,,,,,Quốc Lộ 1A,
284355.0,,,,,,,Đường Võ Thị Thừa,
284354.0,,,1,6,,,Bàu Cát,
284353,1,,1,3,1,,Lê Văn Việt,
284328.0,,,1,,,,Masteri Centre Point,
284327.0,,,1,,,,Masteri Centre Point,
284324.0,0,0,1,0,0,0,Phước Long A Thủ Đức,
284322.0,1,,1,2,,,Nguyễn Hữu Tiến,
284321.0,1,,1,2,,1,Đường Thống Nhất,
284320.0,1,,1,3,,,Quang Trung,
284319.0,1,,1,2,,,Ni Sư Huỳnh Liên,
284308.0,1,0,1,2,0,1,Lê Văn Quới Mã Lò Bình Hưng Hòa A Bình Tân,
284304.0,,,1,2,1,,Hương lộ 2 Bình Trị Đông,
284303.0,,,1,2,1,,Phan Văn Trị,
284302.0,,,1,1,,,Quang Trung,
284301.0,1,,1,3,,,Thường Kiệt,
284300.0,,,1,3,,,Võ Văn Ngân,
284299.0,,1,1,2,,,Tân Thới Hiệp Q12,
284298.0,,1,1,3,,1,Lê Văn Việt,
284297.0,1,,1,3,,,"Nguyễn Văn Quá, Quận 12, Giáp Gò Vấp",
284296.0,,,1,2,,,Thôi Tam Thôn HocMon 3,
284295.0,1,,1,2,,,Hẻm Tô,
284294.0,,,1,2,,,Kinh Dương Vương,
284293.0,,,1,2,,,Kinh Dương Vương,
284291.0,1,0,1,4,1,,Lê Văn Thọ,
284287.0,1,,1,3,,,Nguyễn Thượng Hiền,
284286.0,1,,1,1,0,,"Đông Lân, Bà Điểm, Hóc Môn",
284279.0,,,1,,,,Nam Hoà,
284278.0,,,1,,,,Nguyễn Xiển,
284277.0,0,0,1,0,0,0,Hóaộng Văn Thứ,
284271.0,,,1,3,,,Lê Trọng Tấn,
284270.0,0,,1,4,1,1,Đồng Xoài,
284269.0,0,,1,3,1,1,Đồng Xoài,
284268.0,1,,1,1,1,,"Đông Lân, Bà Điểm, Hóc Môn",
284267.0,1,,1,2,,,Aeon Mall Tân Phú,
284259.0,,,1,,,1,Đường D1 Phường Phước Long B Q9,
284258.0,,,1,,,1,Đường Đỗ Xuân Hợp,
284257.0,,,,,,1,Đường Đỗ Xuân Hợp,
284256.0,,,1,,,1,Đường Đỗ Xuân Hợp,
284254.0,,,1,,,1,Đường Đỗ Xuân Hợp,
284249.0,,,1,,,,Đường Võ Chí Công,
284248.0,1,,1,2,,,Bình Trị Đông A Bình Tân,
284247.0,1,,1,2,,,Đường số 1 Thống Nhất,
284246.0,1,,1,2,,,Đường số 1 Thống Nhất,
284245.0,1,,1,2,,,Đường số 1 Thống Nhất,
284244.0,1,,1,2,1,,Đường Số 3,
284238.0,,1,1,,,,Phạm Văn Đồng,
284237.0,1,,1,4,1,,Lạc Long Quân,
284229.0,1,0,1,2,0,0,Phạm Văn Chiêu,
284226.0,,,1,3,,,Bạch Đằng,
284225.0,,,1,4,,,Ngô Chí Quốc,
284224.0,0,0,1,4,0,1,1C,
284206.0,,,1,5,1,,P. Trường Thọ Thủ Đức,
284204.0,,,1,,,,Lạc Long Quân,
284203.0,,,,,,,,
284201.0,,,1,6,1,1,Tuấn Kiệt,
284198.0,1,,1,4,,,Huỳnh Văn Bánh,
284197.0,1,,1,3,,,Lê Thúc Hoạch,
284196.0,,,1,3,1,,Hoàng Hoa Thám,
284191.0,0,,1,4,1,,Hồng Lạc,
284190.0,0,,1,4,1,,Hồng Lạc,
284188.0,,,1,2,1,1,đường 35 Hiệp Bình Chánh Thủ Đức,
284187.0,,,1,,,,Nguyễn Hữu Thọ,
284177.0,1,,1,3,,,Đường Số 44 Phường 14 Gò Vấp,
284172.0,1,,1,2,,,Tân Phú Q11,
284169,1,0,1,2,0,1,Nguyễn Văn Bảo,
284168.0,1,0,1,3,0,1,Nguyễn Văn Bảo,
284158.0,1,1,1,2,0,1,,
284157.0,1,0,1,2,0,1,,
284155.0,1,,1,2,,,Quang Trung P. 8 Gò Vấp,
284154.0,,,1,2,1,,Kinh Dương Vương Bình Tân,
284149.0,0,0,1,2,1,1,Nguyễn Văn Khối,
284147.0,,,1,4,,,Nguyễn Ảnh Thủ Tân Xuân HCMON,
284146.0,1,1,1,3,0,,Ho Chi Minh,
284145.0,1,,1,3,,,"Lê Trọng Tấn, Tân Phú",
284139.0,,,1,3,,,CN11,
284132.0,1,,1,2,1,,"HXT tránh, NVK Phường 9 Gò Vấp",
284130.0,1,,1,2,,,"Nguyễn Hồng Đào, Tân Bình",
284127.0,,,1,4,,,đường số 4 The Vista,
284126.0,,,1,4,,,Đường 52,
284123.0,,,1,5,,1,Nguyễn Thị Nhung,
284122.0,,,1,4,,1,Đường Số 7,
284119.0,,,1,4,,1,Nguyễn Thị Nhung và Đinh Thị Thi,
284118.0,,,1,5,1,,Vạn Phúc City,
284117.0,,,1,2,,,Đường số 9 đường số 10,
284116.0,1,0,1,2,0,0,Tân Bình,
284115.0,,,1,4,1,,Nguyễn Văn Trỗi,
284114.0,1,1,1,3,0,0,Hoàng Hoa Thám,
284113.0,1,1,1,4,0,0,Hoàng Hoa Thám,
284112.0,,,1,3,1,1,NB Cao Lỗ,
284110.0,1,,1,1,,,Nguyễn Trãi,
284107.0,,,1,2,,,Nguyễn Hữu Thọ,
284089.0,,,1,5,1,,Nguyễn Hoàng,
284088.0,1,,1,2,1,,Au Co,
284078.0,,,,,,,Lê Hồng Phong,
284074.0,,,1,2,,,Cầu Bưng Lê Trọng Tấn,
284071.0,,,1,7,,1,AEON Bình Tân,
284070.0,,,1,1,,,Quốc Lộ 13,
284069.0,0,,1,2,1,,Đường số 6 Phường Bình Thọ TP.Thủ Đức,
284068.0,1,,1,2,,1,Hóc Môn - Bà Điểm,
284066.0,,,1,2,,,Đinh Tiên Hoàng,
284063.0,,,1,,,,Phú Thọ Hoà Phú,
284062,1,0,1,2,1,,Nguyễn Thượng Hiền Thích Quảng Đức,
284061.0,0,0,1,1,0,0,"Hau Lan, Ho Chi Minh",
284060.0,1,,1,4,1,,Giang Ghẹ Trường Chinh,
284059.0,,,1,2,1,,đường số 3 khu Tên lửa,
284055.0,,,1,,,,Hồ Văn Long,
284051.0,,,1,,,,Quốc lộ 22,
284049.0,1,0,1,3,1,0,"Nguyễn Thế Truyện, Tân Phú",
284043.0,1,,1,0,,,Hoàng Diệu 2 Phạm Văn Đồng,
284042.0,1,,1,4,,,"Tân Sơn Nhì, Tân Phú",
284041.0,,,1,3,1,,Đường Số 13 P. Hiệp Bình Chánh Tp Thủ Đức,
284033.0,,,1,2,,,"Tân Thới Nhất, Quận 12",
284029.0,1,,1,2,,,Phú Thọ,
284021.0,,,1,2,,,Nguyễn Hữu Thọ,
284019.0,,,1,0,,1,Đường Võ Chí Công,
284018.0,,,,,,,,
284017.0,,,1,2,,,Miếu Bình Đông,
284016.0,,,1,,,,Miếu Bình Đông,
284014.0,,,1,2,1,,Miếu Bình Đông,
284009.0,,,1,2,,,Lê Văn Quới,
284008.0,1,,1,2,1,,Nam Hoà Phước Long A,
284005.0,,,1,,,1,Đường Đỗ Xuân Hợp,
284003.0,,,1,2,,,Phan Đăng Lưu,
284001.0,,,1,3,,,Aeon MALL,
283997.0,,,1,2,,,Giáp Khu Tên Lửa Bình Trị Đông Bình Tân,
283996.0,,,1,2,,,Trương Văn Thành,
283990.0,1,0,1,4,1,1,Nguyễn Văn Khối Phường 9 Gò Vấp,
283988.0,,,1,2,1,,Đường số 4,
283985.0,,,1,2,,,Phạm Hùng,
283984.0,,1,1,,,,Huỳnh Tấn Phát,
283983.0,0,,1,4,1,1,Phạm Văn Chiêu,
283982.0,,,1,0,,,đường Vườn Thơm,
283976.0,,,,,,1,"Phường An Phú, Quận 2",
283973.0,1,,1,4,1,,Nguyễn Văn Khối,
283972.0,,,1,2,,,Lạc Long Quân,
283971.0,,,1,4,1,,Phạm Văn Đồng Lê Quang Định,
283970.0,1,,1,4,1,1,"Tây Sơn Nhì, Tân Phú",
283964.0,,,1,2,,,Tân Hòa Đông,
283960.0,,,1,4,1,,Tân Sơn Nhì – Tân Phú,
283958.0,,,1,2,,,Đường số 1A,
283957.0,,,1,,,,đường số 7,
283956.0,,,1,4,1,,"Nguyễn Thế Truyền, Tân Phú",
283953.0,,,1,2,1,,Bùi Tá Hán,
283952.0,,,1,6,,1,Trương Đức Toàn,
283951.0,1,,1,3,1,1,Tân Sơn Nhì,
283950.0,1,0,1,5,1,1,HẺM XE HƠI NGUYỄN VĂN LƯỢNG,
283949.0,1,,1,5,1,1,HẺM XE HƠI NGUYỄN VĂN LƯỢNG,
283947.0,,,1,2,,,Lê Đức Thọ,
283941.0,0,0,1,3,1,,Bùi Tá Hán,
283936.0,1,1,1,2,0,1,Thach Lam,
283929.0,,,1,4,,,Ni Sư Huỳnh Liên Hồng Lạc,
283928.0,,,1,5,,,Ni Sư Huỳnh Liên Hồng Lạc,
283927.0,0,,1,3,1,,Khu Tên Lửa,
283922.0,,,1,0,,,Hồ Văn Long,
283920.0,1,,1,4,1,,Đào Duy Anh,
283919.0,,,1,11,,1,,
283918.0,1,,1,2,,,Nguyễn Văn Khối,
283912.0,1,,1,3,1,,"Phường 5, Bình Thạnh",
283910.0,,,1,2,,1,Thủ Đức,
283905.0,1,,1,2,1,,Nguyễn Công Hoan,
283898.0,,,1,,,,Nguyễn Thế Truyện,
283896.0,0,0,1,0,0,1,Linh Trung,
283893.0,,,1,3,,,Phường Linh Đông,
283892.0,,,1,3,,,Phường Linh Đông,
283889.0,,,1,,,,Liên Phường,
283887.0,,,1,2,,1,Ngã Tư Bình Thái,
283886.0,,,1,4,,,Tân Sơn Nhì,
283882.0,,,1,,,,Nguyễn Thế Truyền,
283881.0,,,1,,,,Nguyễn Thế Truyền,
283879.0,,,1,6,1,,Nguyễn Văn Luông,
283878.0,1,0,1,2,0,0,Gò Vấp,
283876.0,,,1,3,1,,Nguyễn Văn Săng,
283872.0,,,1,,,1,Đường Đỗ Xuân Hợp,
283871.0,1,0,1,2,1,0,"đường số 38, Hiệp Bình Chánh, Thủ Đức",
283867.0,,,1,,,1,Đường Đỗ Xuân Hợp,
283863.0,,,1,2,,1,Đỗ Xuân Hợp,
283861.0,,,,,,,,
283860.0,,,1,,,1,Phường An Phú Quận 2,
283854.0,,,,,,,Đỗ Xuân Hợp,
283850.0,,,1,2,1,1,,
283849.0,1,,1,3,1,,Luỹ Bán Bích,
283848.0,0,0,1,3,0,0,NHÀ TÔN THẤT THUYẾT QUẬN 4,
283842.0,1,1,1,2,0,1,đường số 11 Phường Linh Xuân TP.Thủ Đức,
283839.0,,,1,5,1,1,Đồng Xoài - Tân Bình,
283834.0,,,1,2,,1,Tây Hoà,
283833.0,,,1,2,,1,Tây Hoà,
283829.0,1,,1,2,1,,"Lạc Long Quân, Tân Bình",
283819.0,,,1,0,,,Đường 52 KDC Văn Minh An Phú Quận 2,
283818.0,,,,,,,,
283816.0,1,,1,3,1,1,Đỗ Xuân Hợp,
283811.0,,,1,,,1,,
283808.0,,,1,3,1,,Xô Viết Nghệ Tĩnh,
283804.0,,,1,,,,,
283795.0,1,0,1,2,0,0,Lý Thường Kiệt,
283794.0,1,,1,,,,Đường Số 4,
283793.0,1,1,1,3,1,,Quốc lộ 13,
283783.0,,,1,3,,1,Dương Đình Hội,
283782.0,1,,1,2,,,đường số 49 Phường hiệp Bình Chánh TP.Thủ Đức,
283778.0,,,1,2,,,Đại Lộ 3,
283777.0,1,,1,2,,,Lê Văn Thọ,
283776.0,0,,1,4,,1,Thach Lam,
283772.0,1,,1,1,,,Nguyễn Văn Lượng,
283771.0,0,,1,3,1,,Đặng Văn Bi,
283770.0,1,,1,1,1,,Toyota Lê Trọng Tấn,
283762.0,1,,1,2,,,Quốc Lộ 13,
283758.0,1,,1,2,,,đường Kênh Tân Hóa,
283753.0,1,,1,0,,,Đường Lê Văn Lương Nhơn Đức Nhà Bè,
283752.0,1,,1,0,,,Đường Lê Văn Lương,
283751.0,,,1,,,,"Lô 1: Diện tích sổ: 1188m2 sẳn thổ cư 758m2, Lô 2: Diện tích sổ: 1061m2 sẳn thổ cư 647m2, Sát dự án Đông Tăng Long phường Trường Thạnh Quận 9 TP.HCM",
283746.0,,,1,4,1,,Đường Số 27 Phường Long Thạnh Mỹ Quận 9,
283743.0,,,1,2,,,Đồng Xoài,
283742.0,,,1,3,,1,Lê Văn Việt,
283738.0,1,,1,4,0,1,Đinh Bộ Lĩnh,
283737.0,,,1,1,1,1,,
283731.0,,,,,,,Nguyễn Duy Trinh,
283723.0,1,,1,3,,,Bùi Đình Túy,
283718.0,,,1,2,1,,"31F An Phu, Quan 2",
283717.0,,,1,2,1,,31F,
283715.0,,,1,2,,1,Đỗ Xuân Hợp,
283714.0,,,1,2,,,Lò Lu,
283712.0,,,1,2,1,1,Đường Bưng Ông Thoàn,
283710.0,1,0,1,2,0,0,Celadon Tân Phú Aeon Mall Tân Phú,
283700.0,1,,1,3,1,,,
283699.0,1,,1,3,1,,,
283694.0,,,1,2,,,Ba Tháng Hai,
283693.0,,,1,2,,,Ba Tháng Hai,
283691.0,,,1,3,,,Đường Quang Trung,
283685.0,,,1,5,,1,Đường số 51,
283677.0,0,0,1,0,0,0,"Đường số 36, khu Tên Lửa",
283674.0,,,1,5,1,,Hoàng Hoa Thám,
283672.0,,,1,2,,,Đường dẫn Cao tốcTrung Lương Võ Trần Trí,
283668.0,0,0,1,2,1,0,đường 7B khu Tên Lửa,
283666.0,1,1,1,3,0,1,Tên Lửa,
283664.0,1,,1,3,1,,Đường Tân Kỳ Tân Quý,
283659.0,,,1,3,,1,Võ Văn Ngân,
283652.0,1,0,1,4,1,0,Trường Chinh,
283651.0,0,0,1,2,0,0,Quang Trung,
283644.0,0,,1,4,,,,
283643.0,,1,,2,,,Tỉnh lộ 10,
283640,,,1,2,1,,Đường số 18,
283636.0,,,1,3,1,1,Bùi Tá Hán,
283635.0,,,1,3,1,1,Bùi Tá Hán,
283633.0,,,1,3,,1,Đường số 55,
283632.0,,,1,2,,,Cư Xá Vĩnh Hội Bến Vân Đồn,
283628.0,,,1,,,,Phú Mỹ Hưng,
283617.0,1,,1,2,,,"Đường số 8, Quận 2",
283616,0,,1,3,1,,Phạm Văn Chiêu,
283608.0,,,1,0,,,đường 42,
283603.0,1,,1,1,,,Thạch Lam Phú Thạnh Tân Phú,
283598.0,1,0,1,3,1,0,Đường Số 4 Phường 16 Gò Vấp,
283595.0,,,1,2,1,,Cao Đức Lân,
283594.0,,,1,2,,,Nơ Trang Long,
283586.0,,1,1,,,1,Phú Mỹ Hưng,
283582.0,1,,1,2,,,Ngô Chí Quốc,
283580.0,,,1,,,1,,
283579.0,,,,,,,,
283574.0,,,1,,,,Đường số 39,
283572.0,1,,1,2,,,Tôn Thất Thuyết,
283571.0,,,,,,,,
283570.0,,,,,,,,
283558.0,1,,1,2,1,,Nguyễn Công Hoan,
283555.0,,,1,2,,,Hoàng Văn Thụ,
283553.0,,,1,3,1,,Võ Liêm Sơn,
283552.0,1,0,1,4,1,1,Phạm Hùng,
283543.0,1,,1,3,,,Văn Thân P8Q4,
